CustomerId,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,2,0,1,1,1,101348.88,1
15647311,1,83807.86,1,0,1,112542.58,0
15619304,8,159660.8,3,1,0,113931.57,1
15701354,1,0,2,0,0,93826.63,0
15737888,2,125510.82,1,1,1,79084.1,0
15574012,8,113755.78,2,1,0,149756.71,1
15592531,7,0,2,1,1,10062.8,0
15656148,4,115046.74,4,1,0,119346.88,1
15792365,4,142051.07,2,0,1,74940.5,0
15592389,2,134603.88,1,1,1,71725.73,0
15767821,6,102016.72,2,0,0,80181.12,0
15737173,3,0,2,1,0,76390.01,0
15632264,10,0,2,1,0,26260.98,0
15691483,5,0,2,0,0,190857.79,0
15600882,7,0,2,,1,65951.65,0
15643966,3,143129.41,2,0,1,64327.26,0
15737452,1,132602.88,1,1,0,5097.67,1
15788218,9,0,2,1,1,14406.41,0
15661507,6,0,1,0,0,158684.81,0
15568982,6,0,2,1,1,54724.03,0
15577657,8,0,2,1,1,170886.17,0
15597945,8,0,2,1,0,138555.46,0
15699309,4,0,1,1,0,118913.53,1
15725737,3,0,2,0,1,8487.75,0
15625047,5,0,1,1,1,187616.16,0
15738191,3,0,2,0,1,124508.29,0
15736816,2,136815.64,1,1,1,170041.95,0
15700772,9,0,2,0,0,38433.35,0
15728693,3,141349.43,1,1,1,100187.43,0
15656300,0,59697.17,2,1,1,53483.21,0
15589475,3,0,3,1,0,140469.38,1
15706552,7,85311.7,1,0,1,156731.91,0
15750181,9,110112.54,2,0,0,81898.81,0
15659428,6,0,2,1,1,34410.55,0
15732963,9,0,2,1,1,142033.07,0
15794171,0,134264.04,1,1,0,27822.99,1
15788448,3,145260.23,1,0,1,114066.77,0
15729599,7,76548.6,1,0,1,98453.45,0
15717426,7,0,1,1,1,40812.9,0
15585768,6,70349.48,2,0,1,178074.04,0
15619360,4,0,1,1,0,70154.22,0
15738148,8,122522.32,1,0,0,181297.65,1
15687946,2,117419.35,1,1,1,94153.83,0
15755196,2,131394.56,1,0,0,194365.76,1
15684171,5,155931.11,1,1,1,158338.39,0
15754849,4,109421.13,2,1,1,126517.46,0
15602280,9,112045.67,1,1,1,119708.21,1
15771573,9,137843.8,1,1,1,117622.8,1
15766205,2,103391.38,1,0,1,90878.13,0
15771873,2,103769.22,2,1,0,194099.12,0
15616550,10,116363.37,2,1,0,198059.16,0
15768193,5,146050.97,2,0,0,86424.57,0
15683553,5,0,2,0,0,116978.19,0
15702298,8,125561.97,1,0,0,164040.94,1
15569590,1,98495.72,1,1,0,40014.76,1
15760861,1,125211.92,1,1,1,113410.49,0
15630053,5,127864.4,1,1,0,87107.57,0
15647091,0,75888.2,1,0,0,45613.75,0
15623944,4,0,1,1,0,1643.11,1
15804771,4,40685.92,1,1,1,46775.28,0
15651280,5,136857,1,0,0,84509.57,0
15773469,9,152328.88,2,0,0,126494.82,0
15702014,1,56084.69,2,0,0,178798.13,0
15751208,8,78707.16,1,1,1,99398.36,0
15592461,4,109166.37,1,1,1,92840.67,0
15789484,6,169831.46,2,1,1,27758.36,0
15696061,1,101633.04,1,1,0,110431.51,0
15641582,10,123180.01,2,1,1,196673.28,0
15638424,5,150725.53,2,0,1,113656.85,0
15755648,8,98373.26,1,1,0,18203,0
15703793,2,133745.44,4,1,0,28373.86,1
15620344,6,0,1,1,0,33953.87,0
15812518,0,163607.18,1,0,1,44203.55,0
15779052,5,157780.84,2,1,1,58426.81,0
15770811,9,0,2,0,1,145562.4,0
15780961,1,178718.19,2,1,0,22388,0
15614049,8,0,2,1,1,139161.64,0
15662085,9,0,1,1,1,148210.64,0
15575185,5,77253.22,1,0,1,194239.63,0
